Sl.No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
Jangoan,56.6,19.1,1066,1089,86.6,66.3,99.3,99.4,84.3,91.1,96.8,71.7,9.3,65.5,44,20.3,1.3,6.5,93.6,71,70.4,67.2,1.4,0.3,0.3,0.4,0,4.6,2.5,19.5,33.9,89.7,65.4,86.1,59.4,34.8,98.9,85.6,4741,*,96.5,99.6,49.6,0,90.1,79.1,86,73,84.2,91.2,94.7,84.2,94.7,94.7,40.6,0,89.4,80.8,100,0,10.8,*,*,*,2.7,81,41.9,79.3,*,11.1,*,10.7,33.4,22.9,10.1,30.9,6.4,18.2,24.1,41.1,69.5,57.3,*,57.5,58.8,6.5,6.9,14.4,8.1,8.8,18.3,13.4,6.2,26.1,18.3,7.6,29,3.1,0.2,0.2,4.1,27.1,11.3,60.6
Jayashankar Bhupalapally,52.4,18.5,1079,903,90.9,58.9,99.3,95.1,65.6,90.3,97.7,71.5,3.9,58.9,36.3,24.9,2,13.2,90.8,64.8,64.3,51,11.3,0,0.5,1,0.2,7,2.4,13.5,47.1,94.6,72.7,94.1,58.9,35.3,94,89.1,5993,*,89.6,99.5,61.3,0.5,95.1,64.3,87.4,50.4,87.9,97.2,96.9,87.9,94,96.9,45.6,6.5,94.4,70.5,97.4,2.6,7,*,*,*,1.9,71.2,44.6,*,*,11.1,*,12.6,32.5,31.8,14.6,36.7,1.4,17.7,22.4,46.3,67.9,66.4,*,65.9,64.9,5.3,7.1,13.5,9.8,6.3,17.4,15.8,7.9,28.4,20.8,7.5,31.5,7.3,0.8,4.9,5.6,27.4,4.3,53.1
Jogulamba Gadwal,47.8,26.8,1037,853,81.7,72.8,99.8,97,73.7,86.1,85.3,61.8,12.5,45,27.4,34.6,2.2,15.9,77.3,75.5,74.9,71.5,0,0.5,0.2,0.1,0,2.6,1.6,24.7,43.3,88.3,72.9,92.6,56.6,27.6,96.5,88.3,2832,*,88.2,94.2,46.5,2.5,91.7,41.7,65.8,22.2,86.9,92.3,95.2,86.9,92.4,93.5,37.6,0,92.4,75,98.8,1.2,5.4,*,*,*,3.7,88.7,40,76.7,*,6.8,*,7.2,49.7,17.3,4.9,41.7,2.8,27.5,21.9,29.9,82.4,64.1,76.9,64.6,66.9,3.4,4.9,9.3,6.1,7.7,14.3,13,5.3,21.5,17.1,9.6,29.7,2.4,0.5,3.2,9.7,23.7,7.1,34.6
Kamareddy,51.1,23.4,1104,870,91,73.9,99.5,99.4,68.2,82.3,93.6,66.5,8.2,58.6,35.6,30.8,2.3,1.1,88.3,56.8,56.8,55.9,0.1,0.3,0.2,0.3,0,9.8,5.4,9.4,44.4,87.5,79.5,90.6,56.1,28.3,96.8,86.8,5957,*,89,97.1,59.1,1.5,93.2,55.4,79.8,42.6,75.5,84.1,94.3,85.3,86.8,91.2,38.4,9.2,82,79.6,98,2,7.1,*,*,*,1.4,72.8,37.7,54.2,*,7.5,*,11.7,33.4,34.5,17.9,43.9,3.1,21.7,21,41.3,71.6,59.5,*,58.9,65.5,5.4,5.8,12.9,6.9,8.9,17.5,14.3,6.8,27.7,16.9,8.1,29.1,2,0.6,1.6,5.6,25.7,16.7,41.8
Karimnagar,63.6,20.1,1065,933,88.7,66.4,99.7,98.3,78.8,94.9,99.1,58.6,16.4,70.3,50.8,11.9,1.1,7.6,94.1,56.8,56.4,44.4,10.9,0.1,0.1,0.6,0,10,2.9,14.5,24.3,92.3,69.6,85.2,48.8,38.6,88.2,89.5,4573,*,95.9,98.4,34.2,1.6,86.9,82.4,92.8,66.8,73.4,74.5,95.8,82.1,88.5,94,26.7,2.6,88.5,79.8,89.3,10.7,13.5,59.2,36.8,75.9,2.1,70.3,30.3,*,*,5.2,*,10.3,30.3,13.9,4.8,27.5,5.9,20.6,28.8,30.4,70.8,61.1,61,61.1,73.2,6.2,8.5,16.8,6.6,10.9,20,11.8,5.8,25,19.5,8.6,34.7,4.9,0.1,1.6,5.7,19.3,5.6,49.8
Khammam,61.8,19,1061,905,94.4,86.4,99.7,98.4,84.5,97.1,96.6,60.4,8.6,66.3,40.9,35,1.4,10.9,95.4,78.7,76.2,73.8,0.4,0.2,0.4,0.8,0,3.3,1.3,25.8,54.9,84.9,76.3,97.3,66.7,34.9,99.4,93.2,3771,*,91.5,97.9,39,0.5,93.2,69.2,78,59.7,86.6,94.3,95,89.2,92.4,95,31.5,2.7,92.4,70.9,96.1,4,6.7,*,*,*,9.3,73.3,30.6,*,*,7.2,*,8.7,22.2,24.7,15,26.2,6,12.8,36.1,55,60.5,62.2,68.8,62.4,61.7,6.9,8.3,17.7,6.7,9,17.7,14.9,6.6,27.6,18.1,8.2,30.8,2.2,0.3,2.1,2,19.5,1.3,31.8
KumurumBheem,52.9,23.7,1024,917,83.1,56.4,97.8,93.6,54,85.8,92.9,63.6,17.3,51.7,28.7,25,1.3,4.6,79.6,49.4,49.1,46.9,0.3,0.1,0.5,0.8,0.2,6.8,2.7,12.5,33,80,68.8,91.8,49,18.8,96.7,85.5,4121,15,81.9,82,55.7,5.7,83.4,27.2,68.4,16.6,76.2,93.5,98,78.2,98,96.4,42.1,17.9,95.9,75,96.5,3.5,7.1,*,*,*,2.2,59.2,42.6,*,*,8.1,*,9.4,38.1,35.7,14.4,41.1,2.7,25.7,14,39,70.7,67.3,65.8,67.3,74.5,3.9,3.8,8.4,6.2,4.8,11.6,13.3,5.5,21.8,17.3,7.8,27.2,0.9,0.3,1.2,12.8,37.7,3,38.4
Mahabubabad,55,21.8,1067,885,91,70,99.6,98.2,68.6,86.6,96.2,69.3,25.8,58,34.7,28.3,0.5,6.6,92.8,75.4,74.7,68.9,4.6,0,0.4,0.3,0,4.7,2.2,16.3,59.5,87.8,67.7,94,52.1,32.4,98.1,91.5,3234,*,94.3,97.7,41.5,1.9,95.4,74,87,60.5,76.1,96.8,89.7,76.1,87.4,87.4,21.4,0,87.4,73.6,100,0,11.2,*,*,*,1.5,79.7,50.5,*,*,3.7,*,3.4,33,19.3,5.2,26.3,3.6,18.6,23.7,48,81.1,63,54.1,62.8,70.3,7.7,5.6,14.1,6.8,8.4,16.5,11.6,6.1,21.9,18.4,7.2,28.8,1.8,0.5,2,5,28.1,12.6,56.5
Mahabubnagar,54.8,27.8,1035,789,91.9,72.6,99.4,99.6,73.7,85.9,94.1,70.3,20.2,59.6,40.4,23.4,2,9.2,95.6,72,70.1,68,0,0.3,0.1,0.4,0,2.7,1.7,31.4,48.3,86.2,62.6,90.2,69.1,45.5,98.7,84.9,2369,*,85.5,98.1,59.2,1,97.6,43.4,72.2,25.9,89.4,98.1,98.2,89.4,96.5,96.5,41.6,0,89.3,70.8,90.7,1.5,4,*,*,*,2.4,81.2,42.9,74,*,5.8,*,5.4,42.6,17.8,8.7,33,4.1,24,24,40.3,82.6,55.1,44.9,54.7,61.2,4.9,4.7,10.8,6.4,7,14.2,14,5.6,24.2,16.5,6.5,26.5,2.2,0,1.4,7.5,25.3,8,42.9
Mancherial,58.4,19.5,1065,909,93.2,73.6,99.6,95.6,78.1,93.1,97.7,64.4,16.1,69.5,48.8,14,0.9,3.7,88.1,55.3,55.3,53.9,0.5,0.2,0.2,0,0.2,11.3,2.9,9.5,33,86.7,64.7,89.6,68.1,49,93.6,87.7,3041,*,85.3,90.1,33.9,4,96.9,67.9,92.6,46.8,76,87.4,100,83,92.7,87.5,46.5,4.9,81.7,63.9,75.8,24.3,12.6,*,*,*,1.1,67.5,24.2,*,*,4.3,*,5.9,25.9,22.1,10,27.4,3.4,21.9,24.6,43.3,58.7,57.1,*,56.7,62.3,6.7,6,14.2,6.5,7.1,16.1,14.7,6.7,27.9,19.5,8.5,32,1.8,0.2,1.9,6.5,22.4,1.9,44.1
Medak,52.3,23.4,1051,848,85.3,58.3,99.4,99.9,78.2,80.1,97.1,61.2,14.2,57.7,39.3,31.8,0.9,6.5,89.3,57.4,55.7,53.9,0.3,0,0.3,0.7,0,7.4,3.8,9.1,51.4,78.9,68.5,81.3,41.8,23.4,97.7,80.8,6139,*,89.8,98.9,62.2,1.1,92.9,51.3,76.1,37.6,69.3,91.1,93.2,72,87.6,82.7,41,21,85.4,85.2,100,0,13.3,41.6,37.5,70.5,1.2,60.1,32.9,70.8,*,10.3,*,12.3,36.4,21.3,3.5,42,1.1,25.4,23.3,31.9,70,54.8,*,54.4,57.7,5.7,7,14,6.9,10.9,19.5,13.7,6.6,26.7,15.7,8.4,28.9,4,0.4,2.7,6.4,26.2,23.8,54
Medchal-Malkajgiri,72.9,23.1,996,828,95,78.8,100,99.9,86.2,99,98.8,53.8,19.8,79.5,59.3,10.2,1.1,3.1,97.1,76.4,72.4,65.8,0.8,0.9,1.4,1.3,0.6,3.7,2,25.4,57.9,89.4,69.6,92.2,60.8,31.8,96.2,90.6,3534,*,90.1,98.3,39.4,1.6,96.2,61,72.9,45.9,76.1,87.6,87.1,79.9,88.4,89,36.5,1.3,88.4,69.5,81.9,18.1,6.4,*,*,*,4.1,63.8,42.9,*,*,9.7,*,10.9,33.4,12,5,25,1.2,15.2,41.8,51.7,73.8,57.4,*,56.8,56.1,4.4,10.2,16.5,5.5,10,18.6,13,5.7,26.5,18.7,9.2,34.8,0.5,0.2,0.7,3,17.9,2.4,39.3
Nagarkurnool,51.1,23.8,1066,771,91.4,84.8,99.9,99.6,73.2,87.3,92,68.6,18.9,57.1,36,32.1,1.9,5.3,96.6,77.3,76.5,73.2,0,0.8,0.6,0.6,0.2,3.9,1.7,27.1,58.3,92.4,75.1,88.5,65.9,41.1,97,90.3,2975,*,91,98,56.2,2,94.5,53,73.7,39.5,81.1,98.3,91.9,81.1,88.8,90.1,37,1.7,86.7,64.7,98.1,1.9,3.6,*,*,*,2.9,86.6,41,75,*,4.4,*,5.4,35.1,27.3,7,30.9,2.5,19.1,22.8,46.7,75.1,53.5,*,54,62.1,4.5,6.4,12.5,7,6.8,14.5,12.9,6.5,24.6,17,6.3,27.3,2,0.2,2.6,6.2,30.8,11.8,55.5
Nalgonda,59.8,23.9,1017,883,80.4,79.3,99.9,99.2,76.4,94.6,87.5,64.8,11.5,62.6,40.9,28.2,1,6,96.9,78.5,77.2,75.1,0,0.4,0.5,0.7,0,2,1.2,23.6,62.8,90.5,65.7,91.8,66.8,40.1,98.7,92.2,4320,*,95.3,98.3,57.4,1.7,99,65.7,90,50.4,78.3,79.9,94.1,81.2,91.2,94.1,32.5,2.9,91.2,72.6,97,3,4.6,*,*,*,5.2,76.7,48.5,*,*,6.2,*,7.1,31.7,29.8,14.5,28,1.7,15.5,28.5,50.6,74.5,54.2,58.3,54.3,60.6,5.9,6.5,13.8,6.4,8.3,17,10.4,4.8,19.6,15.6,5.9,25.7,4.6,0.2,1.4,4,24.3,7.4,51.4
Nirmal,53.3,22.7,1171,1138,94,71.7,99.5,98.3,63.6,88.8,95.1,49.9,11.5,58.6,40.9,23.3,1.8,9.6,78.7,59.3,58.5,53.8,0.3,0.6,1,0.4,0.2,6.7,3.6,9.2,39.4,85.2,69.7,91.2,58.7,34.6,96.9,87.2,5080,*,91,96.7,31.3,0.5,91.6,77.3,90.3,58.6,75.3,77.2,100,83.3,89.5,97.2,50.1,17.2,87.7,84.1,88.9,5.9,7.8,*,*,*,0,56.3,20.9,61.7,*,10.2,*,10.5,31.7,18.1,6.6,33.4,1.4,26.9,22.5,32,65.3,58.1,47.2,57.7,57.3,5.6,5.2,11.7,6.7,7.6,15.8,13.4,6.1,25.1,18.6,5.3,28.5,6.5,0.9,1.4,13,29,3.5,43.9
Nizamabad,54.3,23.7,1132,941,90.4,77.6,99.9,99.4,72.5,92.4,96.9,52.3,17.8,63.1,42.4,23.7,2.1,3.8,88.8,60.3,56.8,52.4,0,0,1.2,1.5,0.4,9.4,5.2,8.6,60.4,87.9,78.5,80,40.9,28.2,96.2,79.5,5262,*,85.9,97.3,46.4,1,91.8,66.7,90,45,86.1,81.5,95,87.8,96.7,95.3,57.9,13.4,94.4,83,96.5,3.5,16.2,56.6,42.2,59.4,1.1,67,25.6,*,*,18,*,18.4,30.5,26.2,4.3,38.4,2.8,21,27.5,41.9,65.3,57.7,38.9,57,65.2,5.1,6.1,13.5,6.3,7.7,15.6,13.6,6.7,27.1,18.1,9.1,31.2,5,0.4,1.4,8.6,20.6,9.8,40.2
Peddapalli,61.3,18.1,1028,913,87.9,69.8,99.5,98,77.8,96.6,97.8,59.1,12.5,73.7,46.6,13.6,0.7,4.6,93.2,66.1,64.8,60,3.3,0.1,0.5,0.3,0.3,8.3,3.1,16.9,44.5,83.5,77.9,87,61,41.9,92.9,87.6,3850,*,89.8,96.5,45.8,0,96.2,71.6,88.8,58.2,73.1,79.4,100,76.1,97,97,34.9,0,94.5,66.3,100,0,11.6,*,*,*,2,72.3,26.3,*,*,14,*,13.8,27.5,28.8,15.6,33.1,1.6,16.5,26.1,47.8,69.6,64.6,*,64.6,78.3,4.2,7.5,13.7,7.3,7.7,16.8,13.4,6.4,27.7,21.8,8.2,34.7,4.9,0.3,3.5,4.6,21.6,4.2,47.5
Rajanna Sircilla,56.4,21.3,1167,1115,91.2,76.7,99.8,98.7,77.4,96.6,98.5,62.8,9.1,64.7,46.4,13.2,1.9,3,92.2,60.7,59.3,49.9,5.9,0,0.3,1.8,0.3,9.9,2.9,18.9,60,90.4,67.1,96.3,55.2,34,99,89.9,3065,*,90.1,97.6,37.7,1.2,95.4,77.2,90.9,60.6,84.1,85.1,96.4,86.1,94.4,94.8,41.9,1.5,92.8,73.3,96.8,3.3,6.1,*,*,*,2.1,72.7,32.5,*,*,8.1,*,7.8,22.4,19.4,8.9,26.1,2.3,18.6,23.8,43.1,65.7,56.6,36.6,56,61.4,6.5,5.1,13.2,6.2,11.4,20.3,15.9,7.3,30.2,19.5,8,36,6.9,1.2,3.3,8.5,19.4,6.1,49.9
